Visit ID,Visit Date,Patient ID,Diagnosis Category,Diagnosis Sub Category,Treatment Category,Treatment Sub Category,New Patient,Consulting Physician,Patient Name,Patient Gender,Patient Age Range,Patient Blood Type,Patient Insurance Number,Patient Phone,Patient Address,Patient Occupation,Patient Emergency Contact
VPL064085,2018-05-30,PHX174331,Mental,Depression,Mental Health Treatment,Individual Counseling,False,Dr. Eddie Young,Alexandra Bennett,Female,41-50,O+,X842136476,015804353845,"Weißstr. 6/7
37867 Schwerin","Embryologist, clinical","Amanda Frazier, 015627763694."
VOD427240,2018-05-30,PEJ588896,Infectious,Onychomycosis/ Nail Fungus,Pharmacy/Prescription Drugs,Anti-Fungal,False,Dr. Eddie Young,Lisa Watkins,Female,41-50,A+,T312264491,017978966479,"Thiesstraße 70
79044 München",Special educational needs teacher,"Linda Smith, 016333607268."
VHI445736,2018-05-30,PAQ345822,OB-Gyn/ Pregnancy,Female Breast Disorder,"Diagnostic Imaging, Screening and Testing",MRI,False,Dr. Alexandria Gaines,Lindsay King,Female,41-50,A-,I160366662,017273216570,"Täschestraße 6/5
37321 Waren","Pharmacist, community","John Rodriguez, 016200643723."
VUR298041,2018-05-30,PVA029598,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Durable Medical Equipment,Special Bed,False,Dr. Michelle Lamb,Justin Blevins,Male,51-64,AB+,K852835082,017616238106,"Beerweg 7
52837 Bitterfeld",Legal secretary,"David Torres, 016415023331."
VFP208583,2018-05-30,PYL999390,Orthopedic/ Musculoskeletal,Sciatica,Pharmacy/Prescription Drugs,Analgesics,False,Dr. Michelle Lamb,Ronald Gomez,Male,51-64,AB+,Q834666593,015836457908,"Michelle-Lübs-Platz 06
74864 Ludwigsburg",Armed forces training and education officer,"Christian Cole, 016844969116."
VDH360317,2018-05-30,PYF511636,Cardiac/Circulatory,Stroke/ CVA,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Admission,False,Dr. James Barber,Emily Johnson,Male,51-64,B+,Z323485900,016780855346,"Dobesweg 509
00068 Gerolzhofen",Midwife,"John Collins, 016068319332."
VIE008341,2018-05-30,PHT733909,Endocrine/ Metabolic,Hypoglycemia,Durable Medical Equipment,Continuous Glucose Monitor,False,Dr. James Barber,Mary Williams,Female,31-40,AB-,M326985048,015922017694,"Pasquale-Carsten-Platz 199
16722 Heiligenstadt","Teacher, secondary school","Kimberly Armstrong, 016811599617."
VYT958403,2018-05-30,PUV204884,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Interferon,False,Dr. Jerry Daniels,Raymond Warren,Other,0-10,AB+,B863321754,016213483737,"Iris-Flantz-Straße 27
52321 Holzminden",Fisheries officer,"Teresa Burke, 015018536745."
VNG325688,2018-05-30,PAA769539,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Pain Management,Pain Management Program,False,Dr. Eddie Young,James Brewer,Male,51-64,B+,U767189811,015030488154,"Kreinstraße 3
72617 Eisenberg",Mining engineer,"Richard Martinez, 016072728977."
VCI262580,2018-05-30,PWK023594,OB-Gyn/ Pregnancy,Female Breast Disorder,"Diagnostic Imaging, Screening and Testing",MRI,False,Dr. Michelle Lamb,Jerry Mora,Female,51-64,B-,S884199664,017473881623,"Rosel-Gotthard-Platz 0/4
74159 Ueckermünde",Furniture conservator/restorer,"Anthony Stone, 017696883488."
VWW537542,2018-05-30,POB447006,Cancer,Lung Cancer,Cancer Treatment,Clinical Trial (Phases 2-4),False,Dr. Alexandria Gaines,Larry Wright,Male,51-64,A+,D932301945,016561405524,"Sabina-Jäntsch-Platz 9
92545 Gunzenhausen",Location manager,"Amy Davis, 016534686454."
VPR614304,2018-05-30,PXW756744,Respiratory System,Asthma,Pharmacy/Prescription Drugs,Treatment for Allergies,False,Dr. James Barber,Angela Mooney,Female,51-64,B+,X153737790,017593113826,"Kobeltstr. 156
08681 Ilmenau",Glass blower/designer,"Richard Williams, 016319876930."
VUG051751,2018-05-30,PYY436527,Mental,Depression,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Michelle Lamb,Jennifer Suarez,Female,21-30,B-,Q478176576,016616316050,"Rörrichtgasse 4
54607 Kelheim",Passenger transport manager,"Belinda Smith, 015741060243."
VVI037658,2018-05-30,PVZ086470,Cardiac/Circulatory,Hypertension,General Surgery,Gastric Bypass,False,Dr. Eddie Young,Thomas Gutierrez,Female,41-50,AB-,D148741961,016664546863,"Ullrichweg 6
96543 Viersen",Health and safety inspector,"Andrea Sexton, 017867742549."
VUG855381,2018-05-31,PQI633930,Mental,Depression - Severe,Mental Health Treatment,Acute Psychiatric Facility Admission,False,Dr. Michelle Lamb,Jessica Simmons,Female,31-40,AB+,T350776733,017481719266,"Elfriede-Siering-Ring 52
06125 Herzberg",Electronics engineer,"Edward Martin, 016233590750."
VMT831430,2018-05-31,PEG426893,Cancer,Lung Cancer,Diagnostic/Physician Evaluation,Out-Of-Network Referral,False,Dr. James Barber,Daniel Anderson,Other,0-10,AB+,R762953885,015585664138,"Davidsstraße 9/7
39404 Northeim",Health service manager,"Paul Martinez, 017823484699."
VIT376843,2018-05-31,PWF486850,Mental,Substance Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Jerry Daniels,Gary Miller,Male,21-30,O+,L181280831,015771386196,"Karl-Hermann-Börner-Weg 131
27947 Suhl",Field trials officer,"Nicole Lara, 015251939905."
VTD591368,2018-05-31,PYS347939,Cancer,Blood Cancer,Cancer Treatment,Chemotherapy,False,Dr. Michelle Lamb,Maria Baker,Male,41-50,AB-,Z137539405,016089823528,"Trudi-Reichmann-Straße 40
24780 Soltau",Retail manager,"Erin Yates, 017480916679."
VFT234415,2018-05-31,PQT082938,Central Nervous System/ Neuromuscular,Headache/Migraine,Pharmacy/Prescription Drugs,Botox Injection,False,Dr. Alexandria Gaines,Richard Martin,Female,21-30,O+,J646458419,015965970482,"Flantzgasse 793
58611 Nordhausen",Legal secretary,"Sabrina Medina, 017713724264."
VAS925447,2018-05-31,PLD104771,"Ears, Nose, Throat",Otitis Media,Acute Medical Services - Outpatient,Emergency Room,False,Dr. Michelle Lamb,Tyler Marquez,Male,0-10,O-,Private,015766263203,"Patbergplatz 6/1
72364 Pasewalk",Public relations officer,"Julian Wheeler, 016810609506."
VCO034368,2018-05-31,PTY486778,Central Nervous System/ Neuromuscular,Headache/Migraine,OB/GYN Procedures,Hysterectomy,False,Dr. Eddie Young,Mr. Jacob Long,Female,41-50,A+,F329584745,017107271705,"Wilmsstr. 84
61252 Grevenbroich","Physicist, medical","Alicia Rhodes, 017759514791."
VHL463353,2018-05-31,PQQ501603,Morbid Obesity,Hypertension,General Surgery,,False,Dr. Jerry Daniels,Brian Mccoy,Female,41-50,B+,L447356217,017093380653,"Vadim-Hermighausen-Ring 346
75295 Sigmaringen",Mining engineer,"Jennifer Cook, 016455177140."
VWL623001,2018-05-31,PNK651872,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,False,Dr. Shelly Hunt,Katrina Sanchez,Female,0-10,AB-,Y449162900,017456853286,"Hübelweg 7
38777 Artern",Volunteer coordinator,"Rodney Huff, 017622085956."
VCA101266,2018-05-31,PKZ582174,Cancer,Colon Cancer,"Diagnostic Imaging, Screening and Testing",PET Scan,False,Dr. Shelly Hunt,Kimberly Wall,Male,41-50,O+,J668444379,016647772577,"Schmiedeckeweg 4/4
86894 Pegnitz","Therapist, art","Miss Yvonne Lin, 017676257315."
VSF354262,2018-05-31,PVL745407,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Eddie Young,Benjamin Montes,Male,10-20,AB-,R522001937,015238421912,"Schaafring 5
74223 Celle",Air broker,"Jeffrey Randall, 016051042052."
VBI682900,2018-05-31,POK533262,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Shelly Hunt,Brandon Marsh,Male,10-20,B+,X728245608,016620814746,"Janett-Dehmel-Allee 3
16551 Seelow","Accountant, chartered certified","Chris Mcdonald, 015516130775."
VQI773322,2018-05-31,PPT993843,Orthopedic/ Musculoskeletal,Osteoporosis,Pharmacy/Prescription Drugs,Formulary versus Non-Formulary,False,Dr. James Barber,Angela Keller,Female,51-64,B+,D504605342,017730430009,"Wagnerallee 250
96604 Havelberg",Music tutor,"Sarah Harris, 015939549677."
VOJ133225,2018-05-31,PPQ560181,Orthopedic/ Musculoskeletal,Back Pain,Chiropractic,Ultrasound/Micro Massage,False,Dr. Jerry Daniels,Elizabeth Green,Female,51-64,A+,M414510090,015037524946,"Ferenc-Dörschner-Straße 7
70025 Regen",Printmaker,"Kevin Lewis, 016919200002."
VLJ313592,2018-05-31,PEG116223,Cancer,Colon Cancer,Cancer Treatment,Chemotherapy,True,Dr. Eddie Young,Sandra Hansen,Male,51-64,AB+,Private,017624514211,"Anna-Luise-Klotz-Allee 4
50477 Lobenstein",Health and safety adviser,"Luke Martin, 017404150628."
VSF873204,2018-05-31,PDL403382,Cardiac/Circulatory,Stroke/ CVA,"Diagnostic Imaging, Screening and Testing",CT Scan,False,Dr. Alexandria Gaines,James Beck,Male,51-64,AB-,Private,016690530508,"Gnatzplatz 91
33708 München",Translator,"Natasha Jimenez, 015565684929."
VZP203303,2018-05-31,PUZ753267,Orthopedic/ Musculoskeletal,,Pharmacy/Prescription Drugs,Analgesics,False,Dr. Jerry Daniels,Kelly Harvey,Male,51-64,A-,F510322835,016336536783,"Krista-Jopich-Platz 71
04846 Celle","Engineer, electronics","Rebecca Allen, 017401692800."
VDA242427,2018-05-31,PUD186470,Mental,Depression,Mental Health Treatment,Psychotherapy,False,Dr. Alexandria Gaines,Anne Dorsey,Male,41-50,B-,V604955649,016994936007,"Jochen-Gnatz-Gasse 561
33390 Gransee",Youth worker,"Michael Terrell, 017977837646."
VND145971,2018-05-31,PKQ238067,Chronic Pain,,Acute Medical Services - Outpatient,,False,Dr. Michelle Lamb,Travis Moore,Female,41-50,AB-,H274732951,015736081206,"Brudergasse 8/8
08683 Hohenstein-Ernstthal",Horticultural therapist,"Amanda Ray, 015621642998."
VHF625909,2018-05-31,PLO855985,Morbid Obesity,Hypertension,General Surgery,,False,Dr. Alexandria Gaines,Alyssa Jackson,Female,31-40,B+,K598327157,017104066164,"Ortmannweg 62
20536 Osterburg","Engineer, mining","Jared Montgomery, 015547055033."
VKB259465,2018-05-31,PJC964572,Infectious,Lyme Disease,Pharmacy/Prescription Drugs,Antibiotics,False,Dr. Shelly Hunt,Chelsea Wilson,Male,21-30,O+,U750881581,016903439379,"Isabel-Mosemann-Allee 3
11638 Wanzleben",Technical author,"Jennifer Jones, 015763281129."
VOT471760,2018-05-31,PUJ946184,Cardiac/Circulatory,Cardiac/Heart problem,"Diagnostic Imaging, Screening and Testing",Ultrasound,False,Dr. James Barber,Gary Morton,Female,31-40,O+,U308386971,016423076884,"Fridolin-Schmidtke-Weg 335
68593 Lippstadt",Cabin crew,"David Goodman, 015440540108."
VOB640025,2018-06-01,PBG296078,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Orthopedic,Artificial Disk Replacement,False,Dr. James Barber,Theresa Perez,Female,51-64,B+,Private,015339483283,"Thanelplatz 17
22988 Viechtach",Film/video editor,"Nathan Gonzalez, 016644819106."
VJX839813,2018-06-01,PPX746684,Mental,Depression - Severe,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Jerry Daniels,Donald Wade,Female,10-20,AB+,I377209710,015601047380,"Georgios-Ditschlerin-Weg 9/7
64877 Aachen",Cabin crew,"Miss Carrie Guzman MD, 016858215434."
VMT976103,2018-06-01,PRN115886,Cardiac/Circulatory,Lymphedema,Diagnostic/Physician Evaluation,Specialty Consultation Referral,False,Dr. Jerry Daniels,Jonathan Robinson,Female,41-50,B+,M430740299,015940213413,"Gudestr. 142
47177 Wertingen",Energy engineer,"Lauren Jackson, 015988967064."
VAT769701,2018-06-01,PAA804222,Cancer,Breast Cancer,Cancer Treatment,Radiation Oncology,False,Dr. Jerry Daniels,Kathy Fernandez,Female,51-64,A-,X111799656,016123592593,"Beckerring 10
47115 Döbeln",Geophysical data processor,"Joshua Krueger, 017827248678."
VSD180151,2018-06-01,PLQ950311,Digestive System/ Gastrointestinal,Irritable Bowel Syndrome,Emergency/Urgent Care,Ambulance/Transport,False,Dr. Eddie Young,Rachel Robinson,Female,65+,B+,G323182095,017672968440,"Albersgasse 8/1
40620 Haldensleben",Energy manager,"Thomas Ross, 017414998888."
VNR631993,2018-06-01,PCG531544,Cancer,Pancreas Cancer,Cancer Treatment,Investigational Treatment,False,Dr. Michelle Lamb,Scott Lucas,Male,31-40,A+,K974452222,015329690862,"Annita-Ruppersberger-Straße 22
84620 Grevesmühlen",Arts development officer,"Casey Mitchell, 017709881279."
VBP139104,2018-06-01,PFY274377,Orthopedic/ Musculoskeletal,TMJ - Temporal Mandibular Joint,Orthopedic,Jaw Surgery,False,Dr. Alexandria Gaines,Laura Thomas,Other,0-10,O-,T642742965,015196831466,"Fröhlichweg 019
29624 Nauen",Medical illustrator,"Tracy Rodriguez, 015786375388."
VQL395275,2018-06-01,PTD247283,Mental,Depression,Mental Health Treatment,Individual Counseling,False,Dr. James Barber,Rachel Kennedy,Female,31-40,A-,N662764910,016934261804,"Jacobstraße 2
98232 Dresden",Market researcher,"Stephanie Jones, 016584970527."
VGG669788,2018-06-01,PDR823534,Mental,Bipolar Disorder,Alternative Treatment,Biofeedback,False,Dr. Michelle Lamb,Juan Gonzalez,Female,41-50,A+,Private,017740632103,"Gertraut-Dörr-Weg 431
02892 Kötzting",Social researcher,"Thomas Thomas, 015978629226."
VFI330071,2018-06-01,PAX250773,Endocrine/ Metabolic,Diabetes,Durable Medical Equipment,Continuous Glucose Monitor,False,Dr. James Barber,Daniel Johnson,Male,0-10,B+,V851157610,017301967991,"Josephine-Köhler-Ring 0
34780 Parsberg",Building services engineer,"Dana Dean, 016223915188."
VFJ865099,2018-06-01,PUI619727,Orthopedic/ Musculoskeletal,Fracture,Orthopedic,Fusion,False,Dr. Alexandria Gaines,Lauren Wallace,Male,21-30,B-,B163203993,015085996494,"Sylwia-Sontag-Platz 252
00130 Erding","Doctor, hospital","Mary Rodriguez, 016426769808."
VUF807156,2018-06-01,PJD240737,Cardiac/Circulatory,Varicose Veins,Cardio Vascular,VNUS Closure,False,Dr. James Barber,Susan Mccormick,Male,51-64,A-,R926354974,017689311717,"Grafring 15
08343 Fürstenwalde","Development worker, community","Tanner Gray, 017884635169."
VNI314883,2018-06-01,PQB876080,Autism Spectrum,Autism-PDD-NOS,,Speech Therapy,False,Dr. Shelly Hunt,Jeffery Ramos,Male,0-10,O-,R154016544,016496111471,"Valerij-Zahn-Platz 620
40990 Starnberg","Horticulturist, amenity","Crystal Wyatt, 015073273009."
VRZ747660,2018-06-01,PQI971068,Orthopedic/ Musculoskeletal,Vertebral Disc Problem,Rehabilitation Services - Outpatient,Physical Therapy,False,Dr. Jerry Daniels,Nichole Coleman,Female,31-40,A-,Private,015067714176,"Junckenstr. 8
42537 Nordhausen",Catering manager,"Sheryl Montgomery, 016731250151."
VUA085839,2018-06-01,PZW235540,Mental,Anxiety,Rehabilitation Services - Skilled Nursing Facility - Inpatient,Inpatient Admission,False,Dr. Shelly Hunt,Albert Rowe,Female,21-30,A+,U931499220,015926647407,"Kargestraße 4
79180 Hohenmölsen",Information officer,"William Boyd, 015500367535."
VVH959158,2018-06-01,PIR978932,OB-Gyn/ Pregnancy,Female Breast Disorder,Reconstructive/Plastic Surgery,Breast Reduction,False,Dr. James Barber,Tara Wilson,Other,0-10,O+,L610458801,016140013968,"Gaby-Sölzer-Platz 84
36820 Nauen",Chief Financial Officer,"Rebecca Walker, 017313277307."
VFI260429,2018-06-01,PIA803335,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Shelly Hunt,Jane Smith,Other,0-10,A-,G611537898,015147750964,"Miesweg 1/2
42171 Burglengenfeld",Geochemist,"Patrick Huber, 017708786931."
VHB195741,2018-06-01,PGB192372,Orthopedic/ Musculoskeletal,Amputation,Durable Medical Equipment,,False,Dr. Shelly Hunt,Manuel Nguyen,Male,21-30,O+,B686043359,017975417100,"Anika-Linke-Gasse 0
80610 Eichstätt","Engineer, civil (contracting)","Morgan Morris, 015660121953."
VJT306516,2018-06-01,PDB455996,Orthopedic/ Musculoskeletal,Osteoarthritis,Pharmacy/Prescription Drugs,Arthritis Medications,False,Dr. Michelle Lamb,Christopher Williams,Female,51-64,AB+,Private,016951975501,"Fiebigplatz 5
26886 Fürstenwalde","Chemist, analytical","James Farrell, 015303912796."
VLM389564,2018-06-02,PVI237268,Morbid Obesity,Post Surgical Complication,Reconstructive/Plastic Surgery,Lipectomy,False,Dr. Shelly Hunt,Angela Turner,Female,41-50,O+,I356765432,016296025807,"Nadine-Scheuermann-Straße 0/8
26943 Sigmaringen","Programmer, systems","Jason Stephens, 017448404800."
VPD738518,2018-06-02,PWD620957,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Alexandria Gaines,Bridget Fields,Female,21-30,A+,K515334506,017361397647,"Helmut-Mende-Allee 1
24648 Groß-Gerau","Librarian, academic","Nicole Macdonald, 015969120888."
VVI928354,2018-06-02,PTS110076,Cardiac/Circulatory,Hypertension,Pharmacy/Prescription Drugs,Anti-hypertensives,False,Dr. Shelly Hunt,Emily Chang,Female,41-50,O-,Q555085438,015565289249,"Köhlerring 98
85900 Garmisch-Partenkirchen","Nurse, learning disability","Andrew Mcconnell, 016669944469."
VXK869117,2018-06-02,PYH636800,Digestive System/ Gastrointestinal,,Acute Medical Services - Inpatient,Admission,False,Dr. Jerry Daniels,Hannah Barnett,Female,51-64,O+,F404597883,017197770152,"Bolnbachweg 547
54208 Kulmbach",Archaeologist,"Ethan Scott, 015303689890."
VUR213898,2018-06-02,PVW153544,Prevention/Good Health,,"Diagnostic Imaging, Screening and Testing",CT Scan,False,Dr. Michelle Lamb,Lacey Gregory,Male,41-50,A+,U688387824,017242354089,"Gunpfgasse 5/2
55069 Wolfratshausen",Clinical molecular geneticist,"Robert Smith, 015214959826."
VLV248216,2018-06-02,PMW125669,Pediatrics,Developmental Delays/ Cognitive,Pharmacy/Prescription Drugs,Hormones,False,Dr. Alexandria Gaines,Stephanie Figueroa,Male,10-20,A-,Private,017162504987,"Katharina-Gorlitz-Platz 1
30721 Döbeln","Conservation officer, historic buildings","Anthony Chang, 017184656239."
VYS149726,2018-06-02,PDW227489,Central Nervous System/ Neuromuscular,Cerebral Palsy,Rehabilitation Services - Outpatient,Physical Therapy,False,Dr. Eddie Young,Patrick Maxwell,Male,0-10,A+,V745299486,016028615950,"Hölzenbecherstraße 13
68594 Hettstedt",Air broker,"Edward Shah, 016984288703."
VIL283966,2018-06-02,PCS428403,Orthopedic/ Musculoskeletal,Amputation,Durable Medical Equipment,,False,Dr. Jerry Daniels,Kayla Brown,Male,51-64,O-,P455617265,015306673156,"Schmidtstraße 8
56830 Celle",Proofreader,"Alyssa Parker, 016371967982."
VXT425805,2018-06-02,PJE285965,Infectious,Hepatitis,Pharmacy/Prescription Drugs,Anti-virals,False,Dr. Shelly Hunt,Erica Ryan,Female,51-64,A-,B128911469,017267000612,"Vogtweg 5/0
45958 München",Advice worker,"Michael Landry, 016838316441."
VVX996110,2018-06-02,PEU817246,Respiratory System,Sleep Apnea,"Diagnostic Imaging, Screening and Testing",Sleep Study,False,Dr. Shelly Hunt,Jill Hicks,Male,51-64,O-,Q876137364,016848630179,"Grein Grothstraße 5/2
28430 Meppen","Optician, dispensing","Linda Crawford, 016896664150."
VHN093019,2018-06-02,PSE882149,Orthopedic/ Musculoskeletal,Joint Problem,Alternative Treatment,Biofeedback,False,Dr. Eddie Young,William Wright,Female,10-20,O+,F130859110,017665082021,"Samir-Trub-Straße 0
07467 Sangerhausen","Scientist, forensic","Janet Goodman, 017391572604."
VSX554681,2018-06-02,PKO316984,OB-Gyn/ Pregnancy,Female Breast Disorder,Cancer Treatment,Investigational Treatment,False,Dr. Shelly Hunt,Felicia Torres,Female,51-64,O-,Private,016559804395,"Jopichring 272
09214 Miesbach",Personnel officer,"Melissa Molina, 017022544344."
VRT012884,2018-06-02,PKB466541,Central Nervous System/ Neuromuscular,Cerebral Palsy,Rehabilitation Services - Outpatient,Physical Therapy,False,Dr. Alexandria Gaines,Sarah Harris,Male,0-10,AB+,G412183746,015692670878,"Sorgatzplatz 8
77029 Luckau","Designer, exhibition/display","Brittany Ward, 015693172770."
VSZ681152,2018-06-02,PFA761371,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,False,Dr. Jerry Daniels,John Chen,Male,0-10,O-,Private,017159227700,"Döhngasse 23
01361 Sangerhausen","Engineer, manufacturing systems","Amanda Cantu, 015932947443."
VUZ328887,2018-06-03,PZP308346,Genitourinary/ Kidney,Incontinence,Rehabilitation Services - Outpatient,Physical Therapy,False,Dr. Eddie Young,Carrie Cochran,Female,41-50,A-,U237465287,015647860331,"Gerdi-Heydrich-Weg 23
59493 Görlitz",Comptroller,"Matthew Dunn, 015171814146."
VRO962567,2018-06-03,PYK914954,Cardiac/Circulatory,Cardiac/Heart problem,"Diagnostic Imaging, Screening and Testing",CT Scan,False,Dr. Michelle Lamb,Mike Cook,Male,51-64,B-,P678235419,016352137449,"Henckstr. 201
80967 Kronach",Personnel officer,"Jason Chavez, 015094722697."
VCB819489,2018-06-03,PCP295049,Digestive System/ Gastrointestinal,Crohn's Disease,"Diagnostic Imaging, Screening and Testing",Lab Work,False,Dr. Jerry Daniels,Nancy Davis,Female,41-50,AB-,Private,015396940533,"Ladeckgasse 7/0
99282 Kronach",Arts development officer,"Diana Reeves, 017187590353."
VTF821855,2018-06-03,PLT770267,Orthopedic/ Musculoskeletal,,Durable Medical Equipment,CPM Machine,False,Dr. Shelly Hunt,Nicholas Robinson,Male,31-40,AB-,X116539463,017654357268,"Geißlerplatz 724
23142 Parchim",Sports administrator,"Daniel Taylor, 016011103416."
VRC006851,2018-06-03,PDG766972,"Ears, Nose, Throat",Sleep Disorder,Special Procedure,Sleep Studies,False,Dr. James Barber,Travis Thompson MD,Male,41-50,AB+,J973146692,016193509917,"Gorlitzplatz 878
77505 Niesky",Chief Marketing Officer,"Chad Jackson, 016333993704."
VOG642394,2018-06-03,PSC498474,Mental,Anxiety,Mental Health Treatment,Individual Counseling,False,Dr. Jerry Daniels,Brian Mullins,Male,51-64,AB+,N466301700,016414636009,"Dörrstraße 3
38693 Viersen","Engineer, maintenance (IT)","Angela Morales, 017768658379."
VWC973693,2018-06-03,PJR839239,"Ears, Nose, Throat",Tonsillitis,"Ear, Nose and Throat Procedures",Tonsillectomy,False,Dr. Jerry Daniels,Monica Moyer,Female,0-10,O+,H376515983,015440669715,"Erika-Eberth-Gasse 176
33397 Deggendorf",Insurance risk surveyor,"Courtney Garner, 016205804069."
VKW285095,2018-06-03,PAV533746,Pediatrics,Delayed Speech,Rehabilitation Services - Outpatient,Speech Therapy,False,Dr. Michelle Lamb,Blake Garcia,Male,0-10,AB+,Private,017520072273,"George-Meister-Ring 44
88382 Rockenhausen","Runner, broadcasting/film/video","Alec Skinner, 015569538099."
VMG283240,2018-06-03,PKT284759,Central Nervous System/ Neuromuscular,Multiple Sclerosis,Durable Medical Equipment,Walker,False,Dr. Shelly Hunt,Christian Christensen,Female,51-64,AB+,L485200023,015770699348,"Felix-Thanel-Allee 9
74137 Mühldorf am Inn",Pharmacologist,"Brian Long, 015996301535."
VIA378455,2018-06-03,PPX746684,Mental,Stress Disorder,Mental Health Treatment,Acute Psychiatric Facility Admission,False,Dr. Shelly Hunt,Donald Wade,Female,10-20,AB+,I377209710,015601047380,"Georgios-Ditschlerin-Weg 9/7
64877 Aachen",Cabin crew,"Miss Carrie Guzman MD, 016858215434."
VWN453832,2018-06-03,PEG192495,Respiratory System,Asthma,Pharmacy/Prescription Drugs,Formulary versus Non-Formulary,False,Dr. Jerry Daniels,Andrew Lopez,Male,10-20,B-,Z729829953,015499370191,"Frithjof-Krause-Weg 817
69117 Konstanz","Engineer, energy","Susan Miller, 015553731265."
VYP361730,2018-06-03,PXP974540,Endocrine/ Metabolic,Growth Hormone Deficiency,Pharmacy/Prescription Drugs,Hormones,False,Dr. Eddie Young,Tiffany Johnson,Male,0-10,B-,S694026688,015158476258,"Knappering 332
68697 Neu-Ulm",Hydrogeologist,"Lisa Smith, 016953665680."
VZV338066,2018-06-03,PEQ998241,Mental,Alcohol Abuse/ Addiction,Mental Health Treatment,Residential Treatment Center - Admission,False,Dr. Eddie Young,Jillian Neal,Male,21-30,AB-,L293137133,016303825804,"Süßebierstr. 6/4
66136 Pegnitz",TEFL teacher,"Steven Avila, 017894259442."
VME266277,2018-06-03,PTN430403,Cancer,Colon Cancer,Cancer Treatment,Chemotherapy,False,Dr. Alexandria Gaines,John Miller,Female,31-40,AB-,D367662705,016533550579,"Greta-Döring-Platz 9
30586 Bremen",English as a second language teacher,"Denise Fowler, 016836625078."
VJA085443,2018-06-03,PML564891,Mental,Psychosis,Emergency/Urgent Care,Emergency Room,False,Dr. James Barber,Tara Brown,Male,21-30,A+,B236371369,016555531338,"Jähnallee 8/2
04524 Badibling","Designer, graphic","Sally King, 015558100915."
VIR455838,2018-06-03,PYY363822,Orthopedic/ Musculoskeletal,Neck Problem,Orthopedic,Artificial Disk Replacement,False,Dr. Michelle Lamb,Shannon Baker,Female,41-50,B-,C906029839,016915304977,"Gertzstr. 3
61935 Sankt Goarshausen","Investment banker, corporate","Cody Page, 016430927154."
VHV511102,2018-06-03,PLN133994,Orthopedic/ Musculoskeletal,Back Pain,Reconstructive/Plastic Surgery,Breast Reduction,False,Dr. Jerry Daniels,Gina Rhodes,Female,41-50,O-,D615479946,015674964315,"Kay-Uwe-Jessel-Platz 416
93497 Viersen","Conservation officer, historic buildings","Sara Guerra, 017843007060."
VSV498294,2018-06-04,PZI666503,Morbid Obesity,Hypertension,General Surgery,Gastric Bypass,False,Dr. Eddie Young,Dr. Eric Juarez Jr.,Male,21-30,O-,L994091826,016791518751,"Pohlplatz 6
72849 Meißen",Air cabin crew,"Curtis Olsen, 017986394716."
VXY163175,2018-06-04,PVX173262,Mental,ADHD - Attention Deficit Hyperactivity Disorder,Acute Medical Services - Inpatient,Admission,False,Dr. Alexandria Gaines,Jim Navarro,Female,21-30,AB-,Y979603221,016296507619,"Marion-Röhrdanz-Straße 3
37911 Tecklenburg",Control and instrumentation engineer,"Jeffrey Schwartz, 015226941476."
VTE673148,2018-06-04,PGE443959,Orthopedic/ Musculoskeletal,Back Pain,Pain Management,Steroid Injection,False,Dr. Jerry Daniels,Sarah Harris,Male,21-30,A+,Private,016518338207,"Kuschplatz 8/0
63912 Beilngries",Television/film/video producer,"Susan Harper, 015279139115."
VSO903520,2018-06-04,PPI874553,Mental,Depression - Severe,Electrical/ Thermal/ Radiofreq. Interventions,Transcranial Magnetic Stimulation,False,Dr. James Barber,Brian Sanders,Female,51-64,O+,K815719799,017004251747,"Peukertring 62
37052 Badoberan","Geologist, wellsite","Debra Welch, 015785827642."
VRL311355,2018-06-04,PXF079197,Morbid Obesity,Hypertension,General Surgery,,False,Dr. Jerry Daniels,Randy Mahoney,Female,51-64,B+,R418009437,016188392912,"Stiebitzgasse 03
35501 Germersheim",Haematologist,"Deborah Ingram, 016408623662."
VZO208876,2018-06-04,PAS609323,Orthopedic/ Musculoskeletal,Back Pain,Orthopedic,,False,Dr. Michelle Lamb,Melissa Holland,Female,41-50,O+,F854409064,017866984389,"Sibel-Sorgatz-Weg 1/5
96288 Kronach",Physiotherapist,"Michael Armstrong, 016100974501."
